name,grid_width,grid_height,num_robots,num_packages,obstacle_density,success,completion_time,packages_collected,total_distance,conflicts_resolved,efficiency,wall_time_seconds
exp_30x30_r5_p10,20,20,3,8,0.15,False,22,9,65,1,7.222222222222222,0.011953115463256836
exp_30x30_r5_p10,20,20,3,12,0.15,False,49,18,144,2,8.0,0.02649235725402832
exp_30x30_r5_p10,20,20,5,8,0.15,False,17,10,83,1,8.3,0.02230358123779297
exp_30x30_r5_p10,20,20,5,12,0.15,False,22,13,110,0,8.461538461538462,0.030339956283569336
exp_30x30_r5_p10,20,30,3,8,0.15,False,50,12,146,4,12.166666666666666,0.023659944534301758
exp_30x30_r5_p10,20,30,3,12,0.15,False,59,16,174,3,10.875,0.0336000919342041
exp_30x30_r5_p10,20,30,5,8,0.15,False,26,11,128,1,11.636363636363637,0.029201030731201172
exp_30x30_r5_p10,20,30,5,12,0.15,False,26,13,103,0,7.923076923076923,0.025467395782470703
exp_30x30_r5_p10,30,20,3,8,0.15,False,34,9,102,0,11.333333333333334,0.028270483016967773
exp_30x30_r5_p10,30,20,3,12,0.15,False,34,13,101,0,7.769230769230769,0.042424917221069336
exp_30x30_r5_p10,30,20,5,8,0.15,False,26,11,128,2,11.636363636363637,0.028050661087036133
exp_30x30_r5_p10,30,20,5,12,0.15,False,26,16,128,1,8.0,0.03979182243347168
exp_30x30_r5_p10,30,30,3,8,0.15,False,36,9,108,0,12.0,0.029108285903930664
exp_30x30_r5_p10,30,30,3,12,0.15,False,42,13,124,2,9.538461538461538,0.04216790199279785
exp_30x30_r5_p10,30,30,5,8,0.15,False,28,9,139,1,15.444444444444445,0.035941362380981445
exp_30x30_r5_p10,30,30,5,12,0.15,False,35,16,173,2,10.8125,0.05889701843261719
